Question_ID ; Question_Text ; Option_Code ; Option_Label ; Global_Score_Impact ; Category_ID ; Category_Impact
E4.N7.Q4 ; L'IA est-elle intégrée dans un produit déjà réglementé au niveau européen, et joue-t-elle un rôle dans sa sécurité ou sa conformité ? ; E4.N7.Q4.A ; Oui ; -10 ; risk_level ; -30
E4.N7.Q5 ; Dans ce domaine sensible, l'IA se limite-t-elle à vous aider ou préparer le dossier, sans peser directement sur la décision finale ? ; E4.N7.Q5.B ; Non ; -10 ; risk_level ; -30
E4.N8.Q2 ; Question E4.N8.Q2 ; E4.N8.Q2.A ; Oui ; -5 ;  ; 
E4.N8.Q3 ; Question E4.N8.Q3 ; E4.N8.Q3.A ; Oui ; -5 ;  ; 
E4.N8.Q4 ; Question E4.N8.Q4 ; E4.N8.Q4.A ; Oui ; -5 ;  ; 
E4.N8.Q5 ; Question E4.N8.Q5 ; E4.N8.Q5.A ; Oui ; -5 ;  ; 
E4.N8.Q6 ; Question E4.N8.Q6 ; E4.N8.Q6.A ; Oui ; -5 ;  ; 
E4.N8.Q7 ; Question E4.N8.Q7 ; E4.N8.Q7.A ; Oui ; -5 ;  ; 
E4.N8.Q8 ; Question E4.N8.Q8 ; E4.N8.Q8.A ; Oui ; -5 ;  ; 
E4.N8.Q9 ; Le système d'IA interagit-il directement avec des personnes physiques sous la forme d'un interlocuteur (ex: chatbot, assistant vocal) ? ; E4.N8.Q9.A ; Oui (Interlocuteur direct) ; -3 ; human_oversight ; -3
E4.N8.Q9.1 ; Le système analyse-t-il physiquement les personnes (visage, corps, voix) pour déduire des caractéristiques comme leur âge, leur genre ou leurs émotions ? ; E4.N8.Q9.1.A ; Oui (Catégorisation ou émotions) ; -2 ; privacy_data ; -2
E4.N8.Q10 ; Combien de personnes utilisent ce système chaque mois ? (réponse indicative) ; E4.N8.Q10.B ; De 100 à 999 ; -1 ; human_oversight ; -1
E4.N8.Q10 ; Combien de personnes utilisent ce système chaque mois ? (réponse indicative) ; E4.N8.Q10.C ; De 1 000 à 9 999 ; -2 ; human_oversight ; -2
E4.N8.Q10 ; Combien de personnes utilisent ce système chaque mois ? (réponse indicative) ; E4.N8.Q10.D ; De 10 000 à 99 999 ; -3 ; human_oversight ; -3
E4.N8.Q10 ; Combien de personnes utilisent ce système chaque mois ? (réponse indicative) ; E4.N8.Q10.E ; De 100 000 à 999 999 ; -3 ; human_oversight ; -3
E4.N8.Q10 ; Combien de personnes utilisent ce système chaque mois ? (réponse indicative) ; E4.N8.Q10.F ; 1 million ou plus ; -3 ; human_oversight ; -3
E4.N8.Q11.0 ; L'IA génère-t-elle ou modifie-t-elle fortement des contenus numériques (texte, image, son, vidéo) ? ; E4.N8.Q11.0.A ; Oui ; 0 ; technical_robustness ; -1
E4.N8.Q11.0 ; L'IA génère-t-elle ou modifie-t-elle fortement des contenus numériques (texte, image, son, vidéo) ? ; E4.N8.Q11.0.A ; Oui ; 0 ; diversity_fairness ; -1
E4.N8.Q11.1 ; Quels types de contenus sont concernés ? (vous pouvez cocher les deux) ; E4.N8.Q11.1.A ; Texte ; 0 ; technical_robustness ; -1
E4.N8.Q11.1 ; Quels types de contenus sont concernés ? (vous pouvez cocher les deux) ; E4.N8.Q11.1.A ; Texte ; 0 ; diversity_fairness ; -1
E4.N8.Q11.1 ; Quels types de contenus sont concernés ? (vous pouvez cocher les deux) ; E4.N8.Q11.1.B ; Image, audio ou vidéo ; 0 ; technical_robustness ; -1
E4.N8.Q11.1 ; Quels types de contenus sont concernés ? (vous pouvez cocher les deux) ; E4.N8.Q11.1.B ; Image, audio ou vidéo ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.A ; A — Information d'intérêt public SANS validation humaine ; -2 ; transparency ; -2
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.A ; A — Information d'intérêt public SANS validation humaine ; -2 ; technical_robustness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.A ; A — Information d'intérêt public SANS validation humaine ; -2 ; diversity_fairness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.B ; B — Information d'intérêt public AVEC contrôle éditorial ; 0 ; technical_robustness ; -0.5
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.B ; B — Information d'intérêt public AVEC contrôle éditorial ; 0 ; diversity_fairness ; -0.5
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.C ; C — Communication commerciale, marketing ou publicitaire ; 0 ; technical_robustness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.C ; C — Communication commerciale, marketing ou publicitaire ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.D ; D — Outil de productivité interne ou technique ; 0 ; technical_robustness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.D ; D — Outil de productivité interne ou technique ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.E ; E — Assistance standard, correction et traduction ; 0 ; technical_robustness ; -1
E4.N8.Q11.T1 ; Quelle est la finalité principale du texte généré par l'IA et comment est-il validé ? ; E4.N8.Q11.T1.E ; E — Assistance standard, correction et traduction ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T1E ; Ce texte fait-il l'objet d'une relecture et d'une validation par un humain qui en assume la responsabilité éditoriale ? ; E4.N8.Q11.T1E.B ; Non ; 0 ; technical_robustness ; -1
E4.N8.Q11.T1E ; Ce texte fait-il l'objet d'une relecture et d'une validation par un humain qui en assume la responsabilité éditoriale ? ; E4.N8.Q11.T1E.B ; Non ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T1E ; Ce texte fait-il l'objet d'une relecture et d'une validation par un humain qui en assume la responsabilité éditoriale ? ; E4.N8.Q11.T1E.C ; Je ne sais pas ; 0 ; technical_robustness ; -1
E4.N8.Q11.T1E ; Ce texte fait-il l'objet d'une relecture et d'une validation par un humain qui en assume la responsabilité éditoriale ? ; E4.N8.Q11.T1E.C ; Je ne sais pas ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.A ; Contrôle éditorial humain avant diffusion, avec responsabilité éditoriale clairement identifiée ; 0 ; transparency ; -1
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.A ; Contrôle éditorial humain avant diffusion, avec responsabilité éditoriale clairement identifiée ; 0 ; technical_robustness ; -0.5
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.A ; Contrôle éditorial humain avant diffusion, avec responsabilité éditoriale clairement identifiée ; 0 ; diversity_fairness ; -0.5
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.B ; Mise en forme standard, traduction, correction ou harmonisation linguistique sans modification substantielle du sens ; 0 ; technical_robustness ; -1
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.B ; Mise en forme standard, traduction, correction ou harmonisation linguistique sans modification substantielle du sens ; 0 ; diversity_fairness ; -1
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.C ; Usage interne, communication privée ou communication commerciale ne visant pas principalement à informer le public sur des questions d'intérêt public ; -1 ; transparency ; -1
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.C ; Usage interne, communication privée ou communication commerciale ne visant pas principalement à informer le public sur des questions d'intérêt public ; -1 ; technical_robustness ; -1
E4.N8.Q11.T2 ; Si la réponse précédente est « Non », laquelle de ces situations décrit le mieux l'usage du texte ? ; E4.N8.Q11.T2.C ; Usage interne, communication privée ou communication commerciale ne visant pas principalement à informer le public sur des questions d'intérêt public ; -1 ; diversity_fairness ; -1
E4.N8.Q11.M1 ; Pour les contenus image, audio ou vidéo, s'agit-il de contenus synthétiques ou manipulés de nature à pouvoir être pris pour authentiques, par exemple un hypertrucage ou un deepfake ? ; E4.N8.Q11.M1.A ; Oui ; -3 ; social_environmental ; -3
E4.N8.Q11.M1 ; Pour les contenus image, audio ou vidéo, s'agit-il de contenus synthétiques ou manipulés de nature à pouvoir être pris pour authentiques, par exemple un hypertrucage ou un deepfake ? ; E4.N8.Q11.M1.A ; Oui ; -3 ; technical_robustness ; -1
E4.N8.Q11.M1 ; Pour les contenus image, audio ou vidéo, s'agit-il de contenus synthétiques ou manipulés de nature à pouvoir être pris pour authentiques, par exemple un hypertrucage ou un deepfake ? ; E4.N8.Q11.M1.A ; Oui ; -3 ; diversity_fairness ; -1
E4.N8.Q11.M2 ; Si la réponse précédente est « Oui », ce contenu relève-t-il d'une œuvre ou d'un programme manifestement artistique, créatif, satirique ou de fiction, clairement présenté comme tel ? ; E4.N8.Q11.M2.A ; Oui ; 0 ; transparency ; -1
E4.N8.Q11.M2 ; Si la réponse précédente est « Oui », ce contenu relève-t-il d'une œuvre ou d'un programme manifestement artistique, créatif, satirique ou de fiction, clairement présenté comme tel ? ; E4.N8.Q11.M2.A ; Oui ; 0 ; technical_robustness ; -1
E4.N8.Q11.M2 ; Si la réponse précédente est « Oui », ce contenu relève-t-il d'une œuvre ou d'un programme manifestement artistique, créatif, satirique ou de fiction, clairement présenté comme tel ? ; E4.N8.Q11.M2.A ; Oui ; 0 ; diversity_fairness ; -1
E4.N8.Q11.M2 ; Si la réponse précédente est « Oui », ce contenu relève-t-il d'une œuvre ou d'un programme manifestement artistique, créatif, satirique ou de fiction, clairement présenté comme tel ? ; E4.N8.Q11.M2.B ; Non ; -1 ; transparency ; -1
E4.N8.Q11.M2 ; Si la réponse précédente est « Oui », ce contenu relève-t-il d'une œuvre ou d'un programme manifestement artistique, créatif, satirique ou de fiction, clairement présenté comme tel ? ; E4.N8.Q11.M2.B ; Non ; -1 ; technical_robustness ; -1
E4.N8.Q11.M2 ; Si la réponse précédente est « Oui », ce contenu relève-t-il d'une œuvre ou d'un programme manifestement artistique, créatif, satirique ou de fiction, clairement présenté comme tel ? ; E4.N8.Q11.M2.B ; Non ; -1 ; diversity_fairness ; -1
E4.N8.Q12 ; Votre personnel et les personnes chargées du fonctionnement de l'IA ont-ils reçu une formation adéquate (littératie en IA) pour comprendre les risques et utiliser le système de manière responsable ? ; E4.N8.Q12.A ; Non ; -3 ; governance ; -3
E5.N9.Q5 ; Quels sont les types de données traitées en entrée ? ; E5.N9.Q5.B ; Personnelles ; -2 ; privacy_data ; -2
E5.N9.Q5 ; Quels sont les types de données traitées en entrée ? ; E5.N9.Q5.C ; Stratégiques / Confidentielles ; -2 ; technical_robustness ; -2
E5.N9.Q5 ; Quels sont les types de données traitées en entrée ? ; E5.N9.Q5.D ; Sensibles (Santé, Biométrie, etc.) ; -5 ; privacy_data ; -5
E5.N9.Q6 ; Avez-vous des procédures de vérification de la qualité des données ? ; E5.N9.Q6.A ; Non ; -4 ; privacy_data ; -4
E5.N9.Q1 ; Avez-vous établi et maintenez-vous un système de gestion des risques ? ; E5.N9.Q1.B ; Non ; -4 ; technical_robustness ; -4
E5.N9.Q7 ; Tenez-vous un registre centralisé de vos systèmes d'IA ? ; E5.N9.Q7.A ; Non ; -4 ; human_agency ; -4
E5.N9.Q4 ; Avez-vous établi une documentation technique complète pour votre système d'IA ? ; E5.N9.Q4.B ; Non ; -4 ; human_agency ; -4
E5.N9.Q8 ; Avez-vous une étape de surveillance humaine dans votre système d'IA ? ; E5.N9.Q8.A ; Non ; -4 ; human_agency ; -4
E5.N9.Q9 ; Votre système d'IA fait-il l'objet de tests réguliers et de mesures techniques pour garantir son exactitude, sa résilience face aux erreurs (robustesse) et sa protection contre les cyberattaques spécifiques (ex: empoisonnement) ? ; E5.N9.Q9.A ; Non ; -4 ; technical_robustness ; -4
E5.N9.Q3 ; Avez-vous intégré des mesures techniques d'atténuation des risques (ex : garde-fous, filtres, instructions système/prompts) dès la conception de votre IA ? ; E5.N9.Q3.A ; Non ; -4 ; technical_robustness ; -4
E6.N10.Q1 ; Le système d'IA est-il conçu pour que les personnes physiques soient clairement informées qu'elles interagissent avec une machine ? ; E6.N10.Q1.A ; Non ; -5 ; transparency ; -5
E6.N10.Q2 ; Les contenus générés ou manipulés par l'IA (textes, images, audios, vidéos) intègrent-ils un marquage technique permettant de détecter leur origine artificielle (ex : watermarking, métadonnées) ? ; E6.N10.Q2.A ; Non ; -5 ; transparency ; -5
E6.N10.Q3 ; Les contenus générés par l'IA (hypertrucages vidéo/audio/image ou textes d'intérêt public) sont-ils accompagnés d'une mention visible indiquant clairement au public leur origine artificielle ? ; E6.N10.Q3.A ; Non ; -5 ; transparency ; -5
